state,city,city_pop
 District of Columbia,Washington,705749
 Florida,Coral Gables,49700
 Florida,Pensacola,52975
 Florida,Apopka,53447
 Florida,Pinellas Park,53637
 Florida,St. Cloud,54579
 Florida,Palm Beach Gardens,57704
 Florida,Sarasota,58285
 Florida,Margate,58796
 Florida,Bradenton,59439
 Florida,Bonita Springs,59637
 Florida,Ocala,60786
 Florida,Coconut Creek,61248
 Florida,Sanford,61448
 Florida,North Miami,62822
 Florida,Port Orange,64842
 Florida,Wellington village,65398
 Florida,Doral,65741
 Florida,Jupiter town,65791
 Florida,Tamarac,66721
 Florida,Daytona Beach,69186
 Florida,Delray Beach,69451
 Florida,Homestead,69523
 Florida,North Port,70724
 Florida,Weston,71166
 Florida,Lauderhill,71868
 Florida,Kissimmee,72717
 Florida,Boynton Beach,78679
 Florida,Deerfield Beach,81066
 Florida,Melbourne,83029
 Florida,Largo,84948
 Florida,Fort Myers,87103
 Florida,Miami Beach,88885
 Florida,Palm Coast,89800
 Florida,Deltona,92757
 Florida,Plantation,94580
 Florida,Sunrise,95166
 Florida,Boca Raton,99805
 Florida,Davie town,106306
 Florida,Miami Gardens,110001
 Florida,West Palm Beach,111955
 Florida,Pompano Beach,112118
 Florida,Lakeland,112136
 Florida,Palm Bay,115552
 Florida,Clearwater,116946
 Florida,Coral Springs,133759
 Florida,Gainesville,133997
 Florida,Miramar,141191
 Florida,Hollywood,154817
 Florida,Pembroke Pines,173591
 Florida,Fort Lauderdale,182437
 Florida,Cape Coral,194495
 Florida,Tallahassee,194500
 Florida,Port St. Lucie,201846
 Florida,Hialeah,233339
 Florida,St. Petersburg,265351
 Florida,Orlando,287442
 Florida,Tampa,399700
 Florida,Miami,467963
 Florida,Jacksonville,911507
 Georgia,Stonecrest,54903
 Georgia,Brookhaven,55554
 Georgia,Valdosta,56457
 Georgia,Smyrna,56666
 Georgia,Marietta,60867
 Georgia,Alpharetta,67213
 Georgia,Albany,72130
 Georgia,Warner Robins,77617
 Georgia,Johns Creek,84579
 Georgia,Roswell,94763
 Georgia,South Fulton,99155
 Georgia,Sandy Springs,109452
 Georgia,Athens,126913
 Georgia,Savannah,144464
 Georgia,Macon,153159
 Georgia,Columbus,195769
 Georgia,Augusta,197888
 Georgia,Atlanta,506811
 Hawaii,Urban Honolulu CDP,345064
 Idaho,Twin Falls,50197
 Idaho,Coeur d'Alene,52414
 Idaho,Pocatello,56637
 Idaho,Caldwell,58481
 Idaho,Idaho Falls,62888
 Idaho,Nampa,99277
 Idaho,Meridian,114161
 Idaho,Boise,228959
 Illinois,Hoffman Estates village,50932
 Illinois,Oak Park village,52381
 Illinois,Wheaton,52745
 Illinois,Mount Prospect village,53719
 Illinois,Berwyn,54391
 Illinois,Normal town,54469
 Illinois,Oak Lawn village,55022
 Illinois,Tinley Park village,55773
 Illinois,Orland Park village,57857
 Illinois,Des Plaines,58899
 Illinois,Skokie village,62700
 Illinois,Palatine village,67482
 Illinois,Decatur,70746
 Illinois,Schaumburg village,72887
 Illinois,Evanston,73473
 Illinois,Bolingbrook village,74545
 Illinois,Arlington Heights village,74760
 Illinois,Bloomington,77330
 Illinois,Cicero town,80796
 Illinois,Waukegan,86075
 Illinois,Champaign,88909
 Illinois,Peoria,110417
 Illinois,Elgin,110849
 Illinois,Springfield,114230
 Illinois,Rockford,145609
 Illinois,Joliet,147344
 Illinois,Naperville,148449
 Illinois,Aurora,197757
 Illinois,Chicago,2693976
 Indiana,Mishawaka,50363
 Indiana,West Lafayette,50996
 Indiana,Elkhart,52358
 Indiana,Anderson,54765
 Indiana,Kokomo,58020
 Indiana,Greenwood,59458
 Indiana,Terre Haute,60622
 Indiana,Noblesville,64668
 Indiana,Muncie,67999
 Indiana,Lafayette,71721
 Indiana,Gary,74879
 Indiana,Hammond,75522
 Indiana,Bloomington,85755
 Indiana,Fishers,95310
 Indiana,Carmel,101068
 Indiana,South Bend,102026
 Indiana,Evansville,117979
 Indiana,Fort Wayne,270402
 Indiana,Indianapolis,876384
 Iowa,Dubuque,57882
 Iowa,Council Bluffs,62166
 Iowa,Ames,66258
 Iowa,Waterloo,67328
 Iowa,Ankeny,67355
 Iowa,West Des Moines,67899
 Iowa,Iowa,75130
 Iowa,Sioux,82651
 Iowa,Davenport,101590
 Iowa,Cedar Rapids,133562
 Iowa,Des Moines,214237
 Kansas,Manhattan,54604
 Kansas,Lenexa,55625
 Kansas,Shawnee,65807
 Kansas,Lawrence,98193
 Kansas,Topeka,125310
 Kansas,Olathe,140545
 Kansas,Kansas,152960
 Kansas,Overland Park,195494
 Kansas,Wichita,389938
 Kentucky,Owensboro,60131
 Kentucky,Bowling Green,70543
 Kentucky,Lexington,323152
 Kentucky,Louisville,617638
 Louisiana,Kenner,66340
 Louisiana,Bossier,68159
 Louisiana,Lake Charles,78396
 Louisiana,Lafayette,126185
 Louisiana,Shreveport,187112
 Louisiana,Baton Rouge,220236
 Louisiana,New Orleans,390144
 Maine,Portland,66215
 Maryland,Bowie,58643
 Maryland,Gaithersburg,67985
 Maryland,Rockville,68079
 Maryland,Frederick,72244
 Maryland,Baltimore,593490
 Massachusetts,Methuen Town,50706
 Massachusetts,Peabody,53070
 Massachusetts,Revere,53073
 Massachusetts,Chicopee,55126
 Massachusetts,Medford,57341
 Massachusetts,Taunton,57464
 Massachusetts,Weymouth Town,57746
 Massachusetts,Malden,60470
 Massachusetts,Waltham,62495
 Massachusetts,Haverhill,64014
 Massachusetts,Framingham,74416
 Massachusetts,Lawrence,80028
 Massachusetts,Somerville,81360
 Massachusetts,Newton,88414
 Massachusetts,Fall River,89541
 Massachusetts,Lynn,94299
 Massachusetts,Quincy,94470
 Massachusetts,New Bedford,95363
 Massachusetts,Brockton,95708
 Massachusetts,Lowell,110997
 Massachusetts,Cambridge,118927
 Massachusetts,Springfield,153606
 Massachusetts,Worcester,185428
 Massachusetts,Boston,692600
 Michigan,Saginaw,48115
 Michigan,Battle Creek,51093
 Michigan,Kentwood,51898
 Michigan,Dearborn Heights,55353
 Michigan,St. Clair Shores,58984
 Michigan,Royal Oak,59277
 Michigan,Pontiac,59438
 Michigan,Novi,60896
 Michigan,Taylor,60922
 Michigan,Southfield,72689
 Michigan,Rochester Hills,74516
 Michigan,Wyoming,75667
 Michigan,Kalamazoo,76200
 Michigan,Farmington Hills,80612
 Michigan,Westland,81511
 Michigan,Troy,84092
 Michigan,Livonia,93665
 Michigan,Dearborn,93932
 Michigan,Flint,95538
 Michigan,Lansing,118210
 Michigan,Ann Arbor,119980
 Michigan,Sterling Heights,132438
 Michigan,Warren,133943
 Michigan,Grand Rapids,201013
 Michigan,Detroit,670031
 Minnesota,Edina,52857
 Minnesota,Minnetonka,54064
 Minnesota,Apple Valley,55135
 Minnesota,Burnsville,61339
 Minnesota,Coon Rapids,62998
 Minnesota,Eden Prairie,64893
 Minnesota,Blaine,65607
 Minnesota,Eagan,66372
 Minnesota,Lakeville,67317
 Minnesota,St. Cloud,68462
 Minnesota,Maple Grove,72622
 Minnesota,Woodbury,72828
 Minnesota,Plymouth,79768
 Minnesota,Brooklyn Park,80389
 Minnesota,Bloomington,84943
 Minnesota,Duluth,85618
 Minnesota,Rochester,118935
 Minnesota,St. Paul,308096
 Minnesota,Minneapolis,429606
 Mississippi,Southaven,55780
 Mississippi,Gulfport,71705
 Mississippi,Jackson,160628
 Missouri,Joplin,50925
 Missouri,Florissant,50952
 Missouri,Blue Springs,55829
 Missouri,St. Peters,58212
 Missouri,St. Charles,71028
 Missouri,St. Joseph,74875
 Missouri,O'Fallon,88673
 Missouri,Lee's Summit,99357
 Missouri,Independence,116672
 Missouri,Columbia,123195
 Missouri,Springfield,167882
 Missouri,St. Louis,300576
 Missouri,Kansas,495327
 Montana,Great Falls,58434
 Montana,Missoula,75516
 Montana,Billings,109577
 Nebraska,Grand Island,51267
 Nebraska,Bellevue,53544
 Nebraska,Lincoln,289102
 Nebraska,Omaha,478192
 Nevada,Carson,55916
 Nevada,Sparks,105006
 Nevada,North Las Vegas,251974
 Nevada,Reno,255601
 Nevada,Henderson,320189
 Nevada,Las Vegas,651319
 New Hampshire,Nashua,89355
 New Hampshire,Manchester,112673
 New Jersey,Plainfield,50317
 New Jersey,Perth Amboy,51390
 New Jersey,Hoboken,52677
 New Jersey,West New York town,52723
 New Jersey,New Brunswick,55676
 New Jersey,Vineland,59439
 New Jersey,East Orange,64367
 New Jersey,Bayonne,64897
 New Jersey,Union,67982
 New Jersey,Passaic,69703
 New Jersey,Camden,73562
 New Jersey,Trenton,83203
 New Jersey,Clifton,85052
 New Jersey,Elizabeth,129216
 New Jersey,Paterson,145233
 New Jersey,Jersey,262075
 New Jersey,Newark,282011
 New Mexico,Santa Fe,84683
 New Mexico,Rio Rancho,99178
 New Mexico,Las Cruces,103432
 New Mexico,Albuquerque,560513
 New York,Niagara Falls,47720
 New York,Troy,49154
 New York,Hempstead village,55113
 New York,White Plains,58109
 New York,Utica,59750
 New York,Schenectady,65273
 New York,Mount Vernon,67345
 New York,New Rochelle,78557
 New York,Albany,96460
 New York,Syracuse,142327
 New York,Yonkers,200370
 New York,Rochester,205695
 New York,Buffalo,255284
 New York,New York,8336817
 North Carolina,Kannapolis,50841
 North Carolina,Rocky Mount,53922
 North Carolina,Burlington,54606
 North Carolina,Huntersville town,58098
 North Carolina,Apex town,59300
 North Carolina,Chapel Hill town,64051
 North Carolina,Jacksonville,72436
 North Carolina,Gastonia,77273
 North Carolina,Asheville,92870
 North Carolina,Greenville,93400
 North Carolina,Concord,96341
 North Carolina,High Point,112791
 North Carolina,Wilmington,123744
 North Carolina,Cary town,170282
 North Carolina,Fayetteville,211657
 North Carolina,Winston,247945
 North Carolina,Durham,278993
 North Carolina,Greensboro,296710
 North Carolina,Raleigh,474069
 North Carolina,Charlotte,885708
 North Dakota,Grand Forks,55839
 North Dakota,Bismarck,73529
 North Dakota,Fargo,124662
 Ohio,Lakewood,49678
 Ohio,Newark,50315
 Ohio,Elyria,53757
 Ohio,Kettering,54855
 Ohio,Springfield,58877
 Ohio,Hamilton,62082
 Ohio,Lorain,63855
 Ohio,Youngstown,65469
 Ohio,Canton,70447
 Ohio,Parma,78103
 Ohio,Dayton,140407
 Ohio,Akron,197597
 Ohio,Toledo,272779
 Ohio,Cincinnati,303940
 Ohio,Cleveland,381009
 Ohio,Columbus,898553
 Oklahoma,Enid,49688
 Oklahoma,Stillwater,50299
 Oklahoma,Midwest,57407
 Oklahoma,Moore,62055
 Oklahoma,Lawton,93025
 Oklahoma,Edmond,94054
 Oklahoma,Broken Arrow,110198
 Oklahoma,Norman,124880
 Oklahoma,Tulsa,401190
 Oklahoma,Oklahoma,655057
 Oregon,Albany,55338
 Oregon,Tigard,55514
 Oregon,Corvallis,58856
 Oregon,Springfield,63230
 Oregon,Medford,83072
 Oregon,Beaverton,99037
 Oregon,Bend,100421
 Oregon,Hillsboro,109128
 Oregon,Gresham,109381
 Oregon,Eugene,172622
 Oregon,Salem,174365
 Oregon,Portland,654741
 Pennsylvania,Lancaster,59265
 Pennsylvania,Bethlehem,75815
 Pennsylvania,Scranton,76653
 Pennsylvania,Reading,88375
 Pennsylvania,Erie,95508
 Pennsylvania,Allentown,121442
 Pennsylvania,Pittsburgh,300286
 Pennsylvania,Philadelphia,1584064
 Rhode Island,Pawtucket,72117
 Rhode Island,Warwick,81004
 Rhode Island,Cranston,81456
 Rhode Island,Providence,179883
 South Carolina,Summerville town,52549
 South Carolina,Greenville,70635
 South Carolina,Rock Hill,75048
 South Carolina,Mount Pleasant town,91684
 South Carolina,North Charleston,115382
 South Carolina,Columbia,131674
 South Carolina,Charleston,137566
 South Dakota,Rapid,77503
 South Dakota,Sioux Falls,183793
 Tennessee,Collierville town,51040
 Tennessee,Smyrna town,51586
 Tennessee,Kingsport,54127
 Tennessee,Hendersonville,58113
 Tennessee,Bartlett,59440
 Tennessee,Johnson,66906
 Tennessee,Jackson,67191
 Tennessee,Franklin,83097
 Tennessee,Murfreesboro,146900
 Tennessee,Clarksville,158146
 Tennessee,Chattanooga,182799
 Tennessee,Knoxville,187603
 Tennessee,Memphis,651073
 Tennessee,Nashville,670820
 Texas,Texas,50094
 Texas,Galveston,50446
 Texas,DeSoto,52988
 Texas,Wylie,53067
 Texas,Little Elm,53126
 Texas,Port Arthur,54280
 Texas,Grapevine,55281
 Texas,Euless,57197
 Texas,Leander,62608
 Texas,San Marcos,64776
 Texas,Harlingen,65022
 Texas,Pflugerville,65380
 Texas,Victoria,66916
 Texas,Rowlett,67339
 Texas,North Richland Hills,70670
 Texas,Mansfield,72419
 Texas,Missouri,75457
 Texas,Baytown,77192
 Texas,Temple,78439
 Texas,Pharr,79112
 Texas,Flower Mound town,79135
 Texas,Cedar Park,79462
 Texas,Georgetown,79604
 Texas,Longview,81631
 Texas,Mission,84331
 Texas,Bryan,86276
 Texas,New Braunfels,90209
 Texas,Conroe,91079
 Texas,San Angelo,101004
 Texas,Edinburg,101170
 Texas,Wichita Falls,104683
 Texas,Allen,105623
 Texas,Tyler,106985
 Texas,League,107536
 Texas,Lewisville,109212
 Texas,Beaumont,116825
 Texas,College Station,117911
 Texas,Sugar Land,118488
 Texas,Richardson,121323
 Texas,Pearland,122460
 Texas,Odessa,123334
 Texas,Abilene,123420
 Texas,Round Rock,133372
 Texas,Waco,139236
 Texas,Carrollton,139248
 Texas,Mesquite,140937
 Texas,Denton,141541
 Texas,McAllen,143268
 Texas,Midland,146038
 Texas,Pasadena,151227
 Texas,Killeen,151666
 Texas,Brownsville,182781
 Texas,Grand Prairie,194543
 Texas,McKinney,199177
 Texas,Amarillo,199371
 Texas,Frisco,200490
 Texas,Irving,239798
 Texas,Garland,239928
 Texas,Lubbock,258862
 Texas,Laredo,262491
 Texas,Plano,287677
 Texas,Corpus Christi,326586
 Texas,Arlington,398854
 Texas,El Paso,681728
 Texas,Fort Worth,909585
 Texas,Austin,978908
 Texas,Dallas,1343573
 Texas,San Antonio,1547253
 Texas,Houston,2320268
 Utah,Herriman,51348
 Utah,Logan,51542
 Utah,Taylorsville,59805
 Utah,Millcreek,61450
 Utah,Lehi,69724
 Utah,South Jordan,76598
 Utah,Layton,78014
 Utah,Ogden,87773
 Utah,St. George,89587
 Utah,Sandy,96380
 Utah,Orem,97828
 Utah,West Jordan,116480
 Utah,Provo,116618
 Utah,West Valley,135248
 Utah,Salt Lake,200567
 Virginia,Harrisonburg,53016
 Virginia,Leesburg town,53727
 Virginia,Lynchburg,82168
 Virginia,Suffolk,92108
 Virginia,Portsmouth,94398
 Virginia,Roanoke,99143
 Virginia,Hampton,134510
 Virginia,Alexandria,159428
 Virginia,Newport News,179225
 Virginia,Richmond,230436
 Virginia,Norfolk,242742
 Virginia,Chesapeake,244835
 Virginia,Virginia Beach,449974
 Washington,Burien,51500
 Washington,Lacey,52592
 Washington,Olympia,52882
 Washington,Shoreline,57027
 Washington,Richland,58225
 Washington,Lakewood,61037
 Washington,Sammamish,65892
 Washington,Marysville,70298
 Washington,Redmond,71929
 Washington,Pasco,75432
 Washington,Auburn,81464
 Washington,Kennewick,84347
 Washington,Bellingham,92314
 Washington,Kirkland,93010
 Washington,Yakima,93637
 Washington,Federal Way,96289
 Washington,Spokane Valley,101060
 Washington,Renton,101751
 Washington,Everett,111475
 Washington,Kent,132319
 Washington,Bellevue,148164
 Washington,Vancouver,184463
 Washington,Tacoma,217827
 Washington,Spokane,222081
 Washington,Seattle,753675
 West Virginia,Charleston,46536
 Wisconsin,La Crosse,51227
 Wisconsin,West Allis,59890
 Wisconsin,Janesville,64575
 Wisconsin,Oshkosh,67004
 Wisconsin,Eau Claire,68802
 Wisconsin,Waukesha,72299
 Wisconsin,Appleton,74098
 Wisconsin,Racine,76760
 Wisconsin,Kenosha,99944
 Wisconsin,Green Bay,104578
 Wisconsin,Madison,259680
 Wisconsin,Milwaukee,590157
 Wyoming,Casper,57931
 Wyoming,Cheyenne,64235
Puerto Rico,San Juan,418140
Puerto Rico,Bayamon,203499
Puerto Rico,Carolina,170404
Puerto Rico,Ponce,152634
Puerto Rico,Caguas,86804
Puerto Rico,Guaynabo,81360
Puerto Rico,Mayaguez,78647
Puerto Rico,Trujillo Alto,54189
